timestamp,user_id,day,quiz_id,image_index,illusion_filename,user_answer,response_time,speed_group,display_time,correct_answer,line_length1,line_length2,actual_difference,arrow_length,angle,arrow_color,is_control,is_correct
2024-11-05 03:41:30,HRB,1,0,29,muller_lyer_day1_illusion45.svg,Left,2.678,Group 1 - Fast,0.5,Left,220,190,30,20,36,red,False,True
2024-11-05 03:41:35,HRB,1,0,30,muller_lyer_day1_illusion46.svg,Left,3.315,Group 1 - Fast,0.5,Left,205,180,25,20,36,red,False,True
2024-11-05 03:41:39,HRB,1,0,31,muller_lyer_day1_illusion31.svg,Same length,2.232,Group 1 - Fast,0.5,Same length,215,215,0,20,36,red,False,True
2024-11-05 03:41:43,HRB,1,0,32,muller_lyer_day1_illusion36.svg,Same length,2.895,Group 1 - Fast,0.5,Same length,190,190,0,20,36,red,False,True
2024-11-05 03:41:48,HRB,1,0,33,muller_lyer_day1_illusion37.svg,Left,4.467,Group 1 - Fast,0.5,Right,185,200,-15,20,36,red,False,False
2024-11-05 03:41:52,HRB,1,0,34,muller_lyer_day1_illusion39.svg,Left,2.418,Group 1 - Fast,0.5,Left,205,195,10,20,36,red,False,True
2024-11-05 03:41:56,HRB,1,0,35,muller_lyer_day1_illusion14.svg,Left,2.431,Group 1 - Fast,0.5,Left,220,215,5,20,36,black,False,True
2024-11-05 03:42:00,HRB,1,0,36,muller_lyer_day1_illusion29.svg,Left,2.735,Group 1 - Fast,0.5,Same length,210,210,0,20,36,red,False,False
2024-11-05 03:42:03,HRB,1,0,37,muller_lyer_day1_illusion33.svg,Same length,2.459,Group 1 - Fast,0.5,Same length,200,200,0,20,36,red,False,True
2024-11-05 03:42:07,HRB,1,0,38,muller_lyer_day1_illusion24.svg,Left,2.389,Group 1 - Fast,0.5,Left,205,200,5,20,36,black,False,True
2024-11-05 03:42:10,HRB,1,0,39,muller_lyer_day1_illusion44.svg,Left,2.249,Group 1 - Fast,0.5,Left,220,180,40,20,36,red,False,True
2024-11-05 03:42:14,HRB,1,0,40,muller_lyer_day1_illusion41.svg,Same length,2.329,Group 1 - Fast,0.5,Left,205,200,5,20,36,red,False,False
2024-11-05 03:42:17,HRB,1,0,41,muller_lyer_day1_illusion47.svg,Left,2.253,Group 1 - Fast,0.5,Left,210,185,25,20,36,red,False,True
2024-11-05 03:42:21,HRB,1,0,42,muller_lyer_day1_illusion7.svg,Left,2.325,Group 1 - Fast,0.5,Same length,215,215,0,20,36,black,False,False
2024-11-05 03:42:24,HRB,1,0,43,muller_lyer_day1_illusion6.svg,Same length,2.291,Group 1 - Fast,0.5,Same length,195,195,0,20,36,black,False,True
2024-11-05 03:42:28,HRB,1,0,44,muller_lyer_day1_illusion17.svg,Same length,2.271,Group 1 - Fast,0.5,Left,205,200,5,20,36,black,False,False
2024-11-05 03:42:31,HRB,1,0,45,muller_lyer_day1_illusion2.svg,Left,2.467,Group 1 - Fast,0.5,Same length,195,195,0,20,36,black,False,False
